age,workclass,fnlwgt,education,education-num,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,native-country,income
32, ?,106567, HS-grad,9, Widowed, Adm-clerical, Not-in-family, White, Female,0,0,11, United-States, <=50K
25, Private,203086, Some-college,10, Never-married, Priv-house-serv, Not-in-family, White, Male,1,0,40, Puerto-Rico, <=50K
84, Self-emp-not-inc,237392, 10th,6, Married-civ-spouse, Tech-support, Husband, White, Male,15,0,40, United-States, <=50K
23, Private,103550, HS-grad,9, Never-married, Adm-clerical, Own-child, White, Female,20,0,40, United-States, <=50K
54, Private,126738, 10th,6, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States, <=50K
62, Local-gov,117258, Some-college,10, Married-civ-spouse, Craft-repair, Husband, White, Male,9,0,46, United-States, <=50K
44, Private,82749, HS-grad,9, Married-civ-spouse, Exec-managerial, Husband, White, Male,7,0,40, United-States, <=50K
29, ?,140842, Preschool,15, Married-civ-spouse, ?, Husband, White, Male,12,0,5, United-States, <=50K
21, ?,265220, Some-college,4, Never-married, ?, Own-child, White, Male,0,0,8, United-States, <=50K
69, ?,176564, 10th,6, Married-civ-spouse, ?, Wife, White, Female,0,1,13, United-States, <=50K
60, Private,171384, 10th,10, Married-civ-spouse, Machine-op-inspct, Not-in-family, White, Male,21,0,40, United-States, <=50K
39, Self-emp-not-inc,33328, HS-grad,13, Married-civ-spouse, Adm-clerical, Husband, White, Male,13,0,59, United-States, <=50K
62, Federal-gov,70986, HS-grad,9, Separated, Other-service, Unmarried, White, Female,25,0,40, United-States, <=50K
43, Private,353698, Some-college,10, Divorced, Craft-repair, Not-in-family, White, Male,3,0,57, Cuba, >50K
21, Private,166303, 11th,7, Never-married, Sales, Not-in-family, White, Male,0,0,40, United-States, <=50K
17, ?,195613, 11th,7, Never-married, Other-service, Unmarried, White, Female,0,0,8, United-States, <=50K
45, State-gov,353961, Assoc-voc,15, Married-civ-spouse, Prof-specialty, Husband, Asian-Pac-Islander, Male,11,0,36, India, <=50K
19, Private,77171, 11th,7, Never-married, Machine-op-inspct, Own-child, White, Female,0,0,7, United-States, <=50K
59, State-gov,574782, HS-grad,9, Divorced, Adm-clerical, Not-in-family, Black, Male,13,0,40, United-States, <=50K
43, Self-emp-not-inc,197146, 7th-8th,9, Never-married, Transport-moving, Not-in-family, White, Male,0,0,46, United-States, <=50K
41, Private,115311, HS-grad,9, Married-civ-spouse, Craft-repair, Husband, White, Male,8,0,22, United-States, <=50K
59, ?,169278, Preschool,15, Married-AF-spouse, Prof-specialty, Wife, White, Female,5,0,37, United-States, >50K
38, Private,299463, Some-college,10, Married-civ-spouse, Sales, Wife, White, Female,0,0,36, Cuba, <=50K
48, Self-emp-inc,183886, Bachelors,13, Married-civ-spouse, Exec-managerial, Husband, White, Male,24,1749,49, United-States, >50K
62, Self-emp-not-inc,138166, 7th-8th,7, Married-civ-spouse, Craft-repair, Husband, White, Male,21,0,40, United-States, >50K
40, State-gov,538851, HS-grad,9, Married-civ-spouse, Adm-clerical, Husband, White, Male,1,0,40, United-States, >50K
46, Private,311313, HS-grad,13, Never-married, Other-service, Not-in-family, White, Female,0,0,30, United-States, <=50K
40, Private,187179, Bachelors,6, Married-civ-spouse, Other-service, Husband, White, Male,0,0,40, United-States, <=50K
46, Private,153642, Masters,10, Married-civ-spouse, Exec-managerial, Wife, White, Male,0,0,40, ?, <=50K
38, Private,195736, HS-grad,9, Married-spouse-absent, Other-service, Unmarried, Asian-Pac-Islander, Female,21,0,34, Jamaica, <=50K
47, Private,120569, Bachelors,13, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,43, Canada, >50K
47, Federal-gov,153785, Masters,11, Divorced, Adm-clerical, Unmarried, White, Female,0,0,40, United-States, <=50K
39, Private,549177, HS-grad,9, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,16,0,40, United-States, <=50K
30, Private,82426, Assoc-voc,11, Divorced, Tech-support, Not-in-family, White, Male,2,0,60, United-States, <=50K
63, Private,329618, HS-grad,9, Widowed, Exec-managerial, Not-in-family, White, Female,0,0,17, United-States, <=50K
28, Private,260620, HS-grad,9, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,2,0,40, United-States, <=50K
42, Private,214717, HS-grad,9, Separated, Craft-repair, Not-in-family, Black, Female,8,0,40, United-States, >50K
32, Private,378084, HS-grad,9, Never-married, Machine-op-inspct, Not-in-family, Black, Male,8,0,40, United-States, <=50K
53, ?,98807, Bachelors,13, Married-civ-spouse, ?, Wife, Other, Female,12,1797,40, United-States, <=50K
21, Private,480016, 11th,7, Never-married, Handlers-cleaners, Own-child, White, Male,0,0,40, United-States, <=50K
22, Local-gov,220148, Masters,14, Never-married, Prof-specialty, Unmarried, Black, Female,0,0,34, United-States, <=50K
42, Self-emp-inc,366730, HS-grad,9, Married-civ-spouse, Craft-repair, Husband, White, Male,6,0,40, United-States, <=50K
44, Federal-gov,159523, Some-college,10, Never-married, Tech-support, Not-in-family, Amer-Indian-Eskimo, Female,0,0,40, United-States, <=50K
18, ?,114077, 11th,7, Widowed, ?, Unmarried, Black, Female,0,0,11, United-States, <=50K
27, Private,199990, HS-grad,13, Married-civ-spouse, Transport-moving, Wife, Asian-Pac-Islander, Male,0,0,40, England, <=50K
49, Private,244236, HS-grad,9, Married-civ-spouse, Transport-moving, Husband, White, Male,4,0,40, United-States, <=50K
36, Self-emp-not-inc,83731, Assoc-voc,11, Never-married, Transport-moving, Not-in-family, White, Male,0,0,50, United-States, <=50K
36, Private,183425, Some-college,10, Separated, Sales, Not-in-family, White, Female,1,0,53, United-States, <=50K
51, Private,153737, HS-grad,9, Widowed, Adm-clerical, Not-in-family, White, Female,3799,0,40, United-States, <=50K
43, Private,111448, HS-grad,9, Divorced, Other-service, Not-in-family, White, Female,13,0,57, United-States, <=50K
42, Local-gov,133400, Assoc-acdm,12, Married-civ-spouse, Prof-specialty, Husband, White, Male,2,0,40, United-States, <=50K
36, Private,186167, 7th-8th,3, Married-civ-spouse, Machine-op-inspct, Unmarried, Asian-Pac-Islander, Male,23,0,36, South, >50K
30, Self-emp-not-inc,101342, 10th,5, Married-civ-spouse, Sales, Husband, White, Female,8,0,40, South, <=50K
35, Private,80569, 11th,5, Married-civ-spouse, Craft-repair, Wife, White, Female,0,2066,40, England, <=50K
27, Private,68587, Bachelors,13, Never-married, Adm-clerical, Not-in-family, White, Male,8,0,40, United-States, <=50K
64, Self-emp-not-inc,169040, HS-grad,9, Widowed, Adm-clerical, Not-in-family, White, Female,24,0,58, United-States, <=50K
26, Local-gov,315635, Some-college,10, Never-married, Adm-clerical, Own-child, Black, Male,15,0,40, United-States, <=50K
37, Private,342555, 11th,7, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,0,1,40, United-States, <=50K
35, Federal-gov,166939, Some-college,10, Married-civ-spouse, Tech-support, Wife, Asian-Pac-Islander, Male,0,0,40, Cuba, <=50K
53, Local-gov,351631, Some-college,10, Separated, Adm-clerical, Not-in-family, Black, Female,14,0,36, United-States, <=50K
40, Self-emp-not-inc,188312, Some-college,10, Married-civ-spouse, Craft-repair, Husband, White, Male,17,0,40, United-States, <=50K
29, Local-gov,209240, Some-college,10, Separated, Other-service, Other-relative, White, Female,0,0,40, United-States, <=50K
27, Local-gov,172354, Bachelors,13, Never-married, Prof-specialty, Not-in-family, White, Female,0,0,40, United-States, <=50K
46, Private,22865, HS-grad,9, Married-civ-spouse, Machine-op-inspct, Wife, White, Female,31,0,40, United-States, >50K
37, Federal-gov,120638, Bachelors,13, Married-civ-spouse, Exec-managerial, Husband, White, Male,19,0,40, United-States, >50K
43, State-gov,131726, Masters,14, Never-married, Prof-specialty, Not-in-family, Asian-Pac-Islander, Male,0,0,40, India, >50K
44, Local-gov,102194, Assoc-acdm,13, Married-civ-spouse, Prof-specialty, Husband, White, Female,8,0,40, United-States, <=50K
61, ?,107571, 9th,6, Never-married, ?, Own-child, White, Female,12,0,11, United-States, <=50K
41, Private,320740, Bachelors,13, Divorced, Prof-specialty, Not-in-family, White, Female,0,0,40, United-States, <=50K
24, Local-gov,40413, 9th,6, Never-married, Sales, Not-in-family, White, Female,2,0,35, United-States, <=50K
21, Private,209027, HS-grad,9, Married-spouse-absent, Machine-op-inspct, Other-relative, White, Female,7,0,30, United-States, <=50K
27, Self-emp-not-inc,221618, HS-grad,9, Never-married, Other-service, Own-child, White, Female,0,0,18, United-States, <=50K
47, State-gov,314965, Doctorate,14, Never-married, Prof-specialty, Not-in-family, White, Male,26,0,40, United-States, <=50K
24, Private,49718, Bachelors,13, Married-spouse-absent, Adm-clerical, Other-relative, White, Female,11,0,40, Puerto-Rico, <=50K
37, Private,143420, Assoc-voc,11, Never-married, Craft-repair, Not-in-family, White, Male,13,0,44, United-States, <=50K
56, Private,107800, Some-college,10, Married-civ-spouse, Sales, Husband, White, Male,0,0,40, United-States, <=50K
40, Private,184287, Bachelors,13, Married-civ-spouse, Exec-managerial, Husband, White, Male,15,0,59, United-States, >50K
62, Self-emp-not-inc,15649, HS-grad,9, Married-civ-spouse, Craft-repair, Husband, White, Male,17,0,60, United-States, <=50K
21, Private,200013, HS-grad,9, Separated, Sales, Not-in-family, White, Female,3521,0,36, United-States, <=50K
50, Private,135598, Assoc-voc,11, Married-civ-spouse, Craft-repair, Husband, White, Male,9,0,69, United-States, >50K
41, Private,207615, Bachelors,13, Married-civ-spouse, Craft-repair, Husband, White, Male,8,0,64, Cuba, <=50K
70, Private,128907, Some-college,10, Married-civ-spouse, Craft-repair, Husband, Asian-Pac-Islander, Male,20,0,40, ?, >50K
48, Self-emp-not-inc,266217, Some-college,10, Divorced, Machine-op-inspct, Not-in-family, White, Female,24,0,40, United-States, <=50K
59, Self-emp-not-inc,384418, 7th-8th,5, Separated, Farming-fishing, Not-in-family, White, Male,5,0,44, United-States, >50K
65, Local-gov,130120, Doctorate,16, Separated, Prof-specialty, Not-in-family, White, Male,14819,0,59, Thailand, >50K
61, Private,294587, HS-grad,9, Separated, Other-service, Wife, White, Female,2,0,40, United-States, <=50K
37, Federal-gov,31603, Bachelors,13, Divorced, Exec-managerial, Not-in-family, White, Male,6,0,45, United-States, >50K
39, Federal-gov,217939, Bachelors,13, Married-civ-spouse, Prof-specialty, Husband, White, Male,2,0,44, United-States, >50K
32, Private,178726, Some-college,10, Married-civ-spouse, Handlers-cleaners, Husband, White, Male,0,1,40, United-States, <=50K
25, Private,113213, HS-grad,9, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,25,0,40, United-States, <=50K
43, Private,223055, HS-grad,9, Married-spouse-absent, Machine-op-inspct, Not-in-family, White, Female,20,1,40, United-States, <=50K
43, Private,214226, HS-grad,9, Married-civ-spouse, Transport-moving, Other-relative, White, Male,3,0,40, United-States, <=50K
49, Private,181541, Some-college,11, Never-married, Transport-moving, Not-in-family, White, Male,5,0,37, United-States, <=50K
39, Local-gov,338667, HS-grad,9, Married-civ-spouse, Craft-repair, Husband, Other, Male,7,0,57, United-States, <=50K
57, Federal-gov,198233, Masters,14, Married-civ-spouse, Prof-specialty, Husband, White, Male,14,0,40, Vietnam, >50K
28, Private,149132, 9th,6, Married-civ-spouse, Farming-fishing, Husband, White, Male,6,0,40, United-States, <=50K
29, Local-gov,201513, Masters,14, Married-civ-spouse, Exec-managerial, Wife, White, Female,11,0,40, United-States, <=50K
17, ?,201206, Assoc-acdm,13, Never-married, ?, Not-in-family, Asian-Pac-Islander, Male,5,0,21, ?, <=50K
48, Private,97990, Bachelors,13, Divorced, Craft-repair, Not-in-family, White, Male,2,1872,40, United-States, <=50K
49, Local-gov,70746, Prof-school,16, Married-civ-spouse, Prof-specialty, Husband, White, Male,17,0,40, United-States, <=50K
39, Private,134208, HS-grad,9, Married-civ-spouse, Machine-op-inspct, Wife, White, Female,0,0,57, United-States, <=50K
59, Private,52599, Some-college,10, Divorced, Transport-moving, Not-in-family, White, Female,3413,0,58, United-States, <=50K
31, Without-pay,270917, Some-college,10, Never-married, Craft-repair, Not-in-family, White, Male,14,0,12, United-States, <=50K
21, Local-gov,176497, 10th,7, Never-married, Craft-repair, Not-in-family, Black, Male,7,0,40, United-States, <=50K
77, Private,26101, Some-college,10, Widowed, Adm-clerical, Not-in-family, White, Female,0,0,36, United-States, <=50K
30, State-gov,217430, Masters,14, Never-married, Adm-clerical, Own-child, White, Male,0,0,40, United-States, <=50K
53, Private,146735, Bachelors,13, Never-married, Prof-specialty, Not-in-family, White, Female,0,0,60, United-States, >50K
47, Private,153010, 11th,7, Never-married, Craft-repair, Not-in-family, White, Male,26,0,30, United-States, <=50K
60, Private,116773, HS-grad,9, Married-civ-spouse, Other-service, Other-relative, White, Female,2,0,40, Canada, <=50K
43, Private,59623, Some-college,10, Widowed, Transport-moving, Own-child, White, Female,0,0,34, United-States, <=50K
21, Private,182554, HS-grad,9, Never-married, Farming-fishing, Other-relative, White, Female,0,0,36, United-States, <=50K
42, Local-gov,156340, Some-college,10, Married-civ-spouse, Adm-clerical, Wife, Asian-Pac-Islander, Female,4,0,40, Cuba, >50K
58, Private,204981, HS-grad,9, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States, <=50K
